student_id,study_hours_per_week,sleep_hours_per_day,attendance_percent,exam_score
S001,2.0,6.1,72,52
S002,2.5,6.4,75,55
S003,3.0,6.2,78,57
S004,3.5,6.7,76,60
S005,4.0,6.5,80,61
S006,4.5,6.8,82,65
S007,5.0,6.6,79,66
S008,5.5,6.9,84,68
S009,6.0,7.0,83,70
S010,6.5,6.8,85,71
S011,7.0,7.1,87,74
S012,7.5,6.9,88,76
S013,8.0,7.2,86,77
S014,8.5,7.0,90,79
S015,9.0,7.3,89,81
S016,9.5,7.1,91,82
S017,10.0,7.4,92,84
S018,10.5,7.2,90,86
S019,11.0,7.5,93,87
S020,11.5,7.3,94,89
S021,12.0,7.6,92,90
S022,12.5,7.4,95,91
S023,13.0,7.7,96,93
S024,13.5,7.5,94,92
S025,14.0,7.8,97,95
S026,14.5,7.6,96,96
S027,15.0,7.9,95,94
S028,15.5,7.7,98,98
S029,16.0,8.0,97,97
S030,16.5,7.8,99,99
S031,17.0,8.1,98,98
S032,17.5,7.9,100,100
S033,3.2,6.3,77,56
S034,5.8,6.7,81,69
S035,8.8,7.1,88,80
S036,10.8,7.3,91,85
S037,12.8,7.5,94,92
S038,14.8,7.7,96,95
S039,16.8,7.9,98,99
S040,6.8,6.9,84,73
